Timestamp,"Do you work, live or access services in Klickitat or Skamania County?",Please enter the ZIP CODE for the community you live in:,What are you involved in locally that helps you live a happy life or get support when you need it?,Which of these best describes your housing today?  (mark all that apply),Is HOUSING a challenge in your community?,"If you said 'yes', please mark all the reasons HOUSING is a problem for you or for people you know:",Did you or anyone else in your household lose a job as a result of COVID-19?,Do you have access to the internet at home?,How many people are in your household (sharing income and expenses)?,"During the past year, what was the total gross income for your household?  ",Is EMPLOYMENT a challenge in your community?,"If you said 'yes', please mark all the reasons EMPLOYMENT is a problem for you or for people you know:","During the 12 months BEFORE covid-19 lockdowns in March, did you or the people you live with worry that you would run out of food before you were able to get more?  ","During the months AFTER covid-19 lockdowns, did you or the people you live with worry that you would run out of food before you were able to get more?  ",Is FOOD a challenge in your community?,"If you said 'yes', please mark all the reasons FOOD is a problem for you or for people you know:",Is TRANSPORTATION a challenge in your community?,If you said 'yes' please mark all the reasons TRANSPORTATION is a problem for you or for people you know:,Is HEALTH CARE a challenge in your community?,"If you said 'yes', please mark all the reasons HEALTH CARE is a problem for you or for people you know:",Please mark the gender you most identify with: ,What age group are you in?,Please select the races or ethnicities you most identify with:,Please mark all WAGAP services you currently use:,"Please share how you feel about this statement: ""WAGAP has helped me learn how or where to get services or other things I need in life""","Please share how you feel about this statement: ""Working with WAGAP has made me feel more hopeful about my community or my life.""","If there are other big problems in your community, or you have an idea about how WAGAP could help - or if there is anything else you would like us to know, please explain here:",survey completed in Spanish
10/06/2020 14:39,Yes,98620,"Community or civic volunteer group, Hobby groups (books clubs, art club, etc.), Extended family, Close friends",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Yes,6,"$45,000 to $64,999","Yes, somewhat","Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,No,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Reduced access to free and reduced school meals because of COVID-19 school closures","Yes, somewhat",Limited public transportation,No,n/a,Female,18-64 years old,White,Food Bank,Neutral,Neutral,,
10/08/2020 14:34,Yes,98672,"Community or civic volunteer group, Close friends",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Not enough housing available to rent or buy",no,Yes,6,"Less than $15,000","Yes, somewhat","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find",No,No,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food",No,n/a,No,n/a,Female,18-64 years old,White,Food Bank,Strongly Agree,Strongly Agree,,
10/28/2020 11:07:41,Yes,98610,"Hobby groups (books clubs, art club, etc.)","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed",no,Yes,6,"$30,000 to $44,999","Yes, somewhat","People lack skills or education needed, Wages are too low to cover monthly expenses",Sometimes,"Yes, many times","Yes, somewhat","Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Reduced access to free and reduced school meals because of COVID-19 school closures, Not enough income to purchase food","Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline","Yes, somewhat","Unsure where to go or what services are available, Lack of adequate insurance, Cost of care is not affordable, Not enough mental health treatment options",Female,18-64 years old,White,Food Bank,Strongly Agree,n/a - I have not been involved with WAGAP,,
12/02/2020 14:45,Yes,98639,"Extended family, Close friends",I have housing and I am NOT worried about losing it,"Yes, somewhat","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy",yes,Yes,6,"$30,000 to $44,999",No,n/a,"Yes, many times","Yes, many times","Yes, a BIG problem!",Lack of transportation to grocery stores or markets,No,n/a,No,n/a,Female,18-64 years old,White,Food Bank,Strongly Agree,Strongly Agree,,
10/03/2020 20:38,Yes,98648,Sports team or club,"I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy",yes,Sometimes,8,"$45,000 to $64,999","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,Sometimes,"Yes, somewhat","Reduced access to free and reduced school meals because of COVID-19 school closures, Not enough income to purchase food","Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation","Yes, somewhat","Unsure where to go or what services are available, Lack of adequate insurance, Cost of care is not affordable",Female,18-64 years old,White,Food Bank,Disagree,Neutral,"Assessor over prices homes, rental needs a cap, hard to build gorge commission",
10/05/2020 13:15,Yes,98620,"Faith group or church, Sports team or club, Hobby groups (books clubs, art club, etc.), Extended family, Close friends",I have housing and I am NOT worried about losing it,No,,yes,Yes,8,"$15,000 to $29,999","Yes, somewhat","Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,No,No,n/a,"Yes, somewhat","Cost of buying and maintaining a car, Unable to get a driverís license, Limited public transportation",No,n/a,Female,18-64 years old,White,Food Bank,Agree,Neutral,,
10/07/2020 09:01,Yes,98635,None,I have housing and I am NOT worried about losing it,"Yes, somewhat","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed",no,Sometimes,,"$15,000 to $29,999",No,n/a,"Yes, many times","Yes, many times","Yes, somewhat","Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Not enough income to purchase food","Yes, somewhat",Cost of buying and maintaining a car,"Yes, somewhat","Unsure where to go or what services are available, Cost of care is not affordable, Not enough mental health treatment options",Female,18-64 years old,White,Food Bank,,,,
10/07/2020 09:28,Yes,98635,Faith group or church,I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of utilities, Weatherization or repairs (roof, foundation, plumbing, etc.) needed",no,Sometimes,,,No,n/a,"Yes, many times",Sometimes,"Yes, a BIG problem!",Not enough income to purchase food,"Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline","Yes, a BIG problem!","Unsure where to go or what services are available, Lack of adequate insurance, Cost of care is not affordable, I need surgery and cannot afford it",Female,18-64 years old,White,Food Bank,n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,
9/30/2020 16:09:29,Yes,98672,"Faith group or church, Community or civic volunteer group, Sports team or club, Hobby groups (books clubs, art club, etc.)","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities",yes,Yes,2,"$15,000 to $29,999","Yes, somewhat",People lack skills or education needed,Sometimes,"Yes, many times","Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Reduced access to free and reduced school meals because of COVID-19 school closures, Not enough income to purchase food","Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline, Unable to get a driverís license, Limited public transportation","Yes, a BIG problem!",Language barrier (medical info hard to understand),Male,18-64 years old,Hispanic/Latino/LatinX,"Food Bank, COVID-19 Relief Fund",Agree,Agree,WAGAP has help me and others.,
10/27/2020 15:33:25,Yes,98672,"Faith group or church, Close friends","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities",Yes,Yes,4,"Less than $15,000","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Lack of legal documents (green card, etc)",Sometimes,"Yes, many times","Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline","Yes, a BIG problem!","Lack of adequate insurance, Language barrier (medical info hard to understand)",Female,18-64 years old,Hispanic/Latino/LatinX,"Food Bank, COVID-19 Relief Fund",Agree,Neutral,,yes
12/02/2020 15:13,Yes,98672,"Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, somewhat","Cost of utilities, Not enough housing available to rent or buy, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",yes,Sometimes,6,"$15,000 to $29,999","Yes, somewhat","Wages are too low to cover monthly expenses, Lack of legal documents (green card, etc)",Sometimes,Sometimes,"Yes, somewhat",Not enough income to purchase food,"Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation","Yes, somewhat","Cost of care is not affordable, Not enough mental health treatment options",Female,18-64 years old,Hispanic/Latino/LatinX,"Food Bank, COVID-19 Relief Fund",Strongly Agree,Strongly Agree,,
10/05/2020 14:00,Yes,98620,"Extended family, Close friends",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Not enough housing available to rent or buy",no,No,1,"$15,000 to $29,999","Yes, a BIG problem!",Good paying jobs with benefits are hard to find,No,No,"Yes, somewhat","Not enough alternative food sources available (pantries, food bank, gleaning, etc.)","Yes, a BIG problem!","Cost of buying and maintaining a car, Unable to get a driverís license, Limited public transportation",No,n/a,Male,18-64 years old,Native American/American Indian,"Food Bank, COVID-19 Relief Fund",Strongly Agree,Strongly Agree,,
10/07/2020 09:35,Yes,98619,"Faith group or church, Extended family",I have housing and I am NOT worried about losing it,"Yes, somewhat","Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed",yes,Sometimes,5,"$30,000 to $44,999","Yes, a BIG problem!",Good paying jobs with benefits are hard to find,"Yes, many times",Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, somewhat",Cost of buying and maintaining a car,"Yes, a BIG problem!",Lack of transportation,Female,18-64 years old,Native American/American Indian,"Food Bank, COVID-19 Relief Fund",Agree,Strongly Agree,,
10/01/2020 10:46,Yes,98670,"Community or civic volunteer group, Close friends",I have housing and I am NOT worried about losing it,"Yes, somewhat","Cost of rent or house payment, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",yes,Yes,1,"Less than $15,000","Yes, a BIG problem!","People lack skills or education needed, Legal barriers to work",Sometimes,Sometimes,"Yes, somewhat",Not enough income to purchase food,"Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline","Yes, somewhat","Not enough alcohol/drug abuse treatment options, Not enough mental health treatment options, Lack of transportation",Male,18-64 years old,White,"Food Bank, COVID-19 Relief Fund",Neutral,Neutral,,
10/01/2020 11:08,Yes,98605,"Community or civic volunteer group, Hobby groups (books clubs, art club, etc.), Close friends","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Not enough housing available to rent or buy",yes,Yes,1,"Less than $15,000",No,n/a,No,"Yes, many times","Yes, a BIG problem!","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, somewhat",Cost of buying and maintaining a car,"Yes, a BIG problem!",Cost of care is not affordable,Male,18-64 years old,White,"Food Bank, COVID-19 Relief Fund",Agree,Agree,,
10/06/2020 10:26,Yes,98620,Close friends,"I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",yes,Sometimes,1,"$15,000 to $29,999","Yes, a BIG problem!","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",Sometimes,"Yes, many times","Yes, somewhat","Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Not enough income to purchase food, over pricing in community","Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation","Yes, a BIG problem!","Unsure where to go or what services are available, Lack of adequate insurance, Cost of care is not affordable, Not enough alcohol/drug abuse treatment options, Not enough mental health treatment options, No cash for gas",Male,18-64 years old,White,"Food Bank, COVID-19 Relief Fund",Agree,Agree,,
10/06/2020 11:56,Yes,98620,Faith group or church,"I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!",Cost of rent or house payment,yes,No,1,"$15,000 to $29,999","Yes, a BIG problem!",Good paying jobs with benefits are hard to find,"Yes, many times",Sometimes,"Yes, somewhat",Not enough income to purchase food,"Yes, somewhat",Unable to get a driverís license,No,n/a,Male,18-64 years old,White,"Food Bank, COVID-19 Relief Fund",Strongly Agree,Strongly Agree,,
10/06/2020 11:59,Yes,98620,"Extended family, Close friends","Other living arrangement (hotel, staying with friends, etc.)",No,n/a,no,No,1,"Less than $15,000",No,n/a,No,No,No,n/a,"Yes, somewhat","Cost of gasoline, Limited public transportation","Yes, somewhat","Unsure where to go or what services are available, Cost of care is not affordable, Not enough alcohol/drug abuse treatment options, Not enough mental health treatment options, Lack of transportation",Male,18-64 years old,White,"Food Bank, COVID-19 Relief Fund",Neutral,Neutral,,
9/30/2020 16:28:52,Yes,98605,Close friends,I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities",no,No,2,"$15,000 to $29,999","Yes, somewhat",Good paying jobs with benefits are hard to find,No,No,"Yes, somewhat",Not enough income to purchase food,"Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation","Yes, somewhat","Lack of adequate insurance, Cost of care is not affordable",Male,18-64 years old,White,"Food Bank, COVID-19 Relief Fund",Strongly Agree,Strongly Agree,,
